timestamp,machine,block,position,cell_id,artefact,branch,harness_commit,features,target,case,command,exit_code,output_dir
"2026-07-31T23:04:24.6933230+01:00","MAC-LDN","1","1","P01","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","HQC256_generate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^HQC256_generate$","0","evidence/criterion/MAC-LDN_block1_pos01_P01_kem"
"2026-07-31T23:04:33.8672940+01:00","MAC-LDN","1","2","P02","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","HQC256_encapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^HQC256_encapsulate$","0","evidence/criterion/MAC-LDN_block1_pos02_P02_kem"
"2026-07-31T23:04:52.1169250+01:00","MAC-LDN","1","3","P03","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","HQC256_decapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^HQC256_decapsulate$","0","evidence/criterion/MAC-LDN_block1_pos03_P03_kem"
"2026-07-31T23:05:03.5192060+01:00","MAC-LDN","1","4","P04","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","MLKEM1024_generate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^MLKEM1024_generate$","0","evidence/criterion/MAC-LDN_block1_pos04_P04_kem"
"2026-07-31T23:05:13.2254150+01:00","MAC-LDN","1","5","P05","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","MLKEM1024_encapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^MLKEM1024_encapsulate$","0","evidence/criterion/MAC-LDN_block1_pos05_P05_kem"
"2026-07-31T23:05:24.8645550+01:00","MAC-LDN","1","6","P06","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","MLKEM1024_decapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^MLKEM1024_decapsulate$","0","evidence/criterion/MAC-LDN_block1_pos06_P06_kem"
"2026-07-31T23:05:36.1541680+01:00","MAC-LDN","1","7","P07","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","Kyber1024_generate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^Kyber1024_generate$","0","evidence/criterion/MAC-LDN_block1_pos07_P07_kem"
"2026-07-31T23:05:46.0502270+01:00","MAC-LDN","1","8","P08","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","Kyber1024_encapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^Kyber1024_encapsulate$","0","evidence/criterion/MAC-LDN_block1_pos08_P08_kem"
"2026-07-31T23:05:55.3980280+01:00","MAC-LDN","1","9","P09","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","hqc256 mlkem1024","kem","Kyber1024_decapsulate","cargo bench -p libsignal-protocol --features hqc256 mlkem1024 --bench kem -- ^Kyber1024_decapsulate$","0","evidence/criterion/MAC-LDN_block1_pos09_P09_kem"
"2026-07-31T23:06:04.7980930+01:00","MAC-LDN","1","10","P10","v2","working-v2.x","70e0812272989205e5c753e3f91f3985de1fa3c4","","mldsa","MLDSA87_generate","cargo bench -p libsignal-protocol --bench mldsa -- ^MLDSA87_generate$","0","evidence/criterion/MAC-LDN_block1_pos10_P10_mldsa"
